@relation GesturePrediction

@attribute labels {click, twoFingerClick, panLeft, panRight, panUp, panDown, closedUp, up, stoped, closedStoped}
@attribute zeroFingerFramesRatio  numeric
@attribute oneFingerFramesRatio  numeric
@attribute twoFingerFramesRatio  numeric
@attribute threeFingerFramesRatio  numeric
@attribute fourFingerFramesRatio  numeric
@attribute fiveFingerFramesRatio  numeric
@attribute pitchAngleAverage  numeric
@attribute yawAngleAverage numeric
@attribute rollAngleAverage numeric
@attribute xAveragePalmVelocity numeric
@attribute yAveragePalmVelocity numeric
@attribute zAveragePalmVelocity numeric
@attribute rightMovementFramesRation numeric
@attribute leftMovementFramesRation numeric
@attribute upMovementFramesRation numeric
@attribute downMovementFramesRation numeric

@data
panUp,0.0,0.0,0.0,0.0,0.19298245614035087,0.8070175438596491,0.4725390803395656,-0.22603952963101237,-2.7134252012821665,-4.09835173594847,215.21363538399078,-37.92720313291801,0.47368421052631576,0.5263157894736842,0.19298245614035087,0.8070175438596491
panDown,0.0,0.208955223880597,0.26865671641791045,0.04477611940298507,0.07462686567164178,0.40298507462686567,0.6270341733053549,-0.2531336979634726,-2.792248903815426,12.7653352887328,-206.45286275868986,3.0991139580954368,0.373134328358209,0.6268656716417911,0.4925373134328358,0.5074626865671642
twoFingerClick,0.26666666666666666,0.011111111111111112,0.7222222222222222,0.0,0.0,0.0,0.4196198582649231,0.01674454691852184,1.7587261968188816,0.333817992069655,-0.9132933070262274,0.9730025353117122,0.45555555555555555,0.5444444444444444,0.5333333333333333,0.4666666666666667
twoFingerClick,0.25925925925925924,0.0,0.7407407407407407,0.0,0.0,0.0,0.33311657662744876,0.10142197657698467,2.8530731878162903,1.918461956359722,5.042635261782525,2.4169782353866913,0.32098765432098764,0.6790123456790124,0.5802469135802469,0.41975308641975306
click,0.20481927710843373,0.7951807228915663,0.0,0.0,0.0,0.0,0.16580271955399986,0.20552962084850632,2.211420987025801,-0.1432501678186727,0.9660854861813496,0.3027368608233799,0.4939759036144578,0.5060240963855421,0.4578313253012048,0.5421686746987951
click,0.26851851851851855,0.7314814814814815,0.0,0.0,0.0,0.0,0.4044903025582985,0.09338576381129247,2.923838789816256,0.9419705493858567,-0.17558269768401427,1.5494209976383932,0.5370370370370371,0.46296296296296297,0.5555555555555556,0.4444444444444444
twoFingerClick,0.4142857142857143,0.5857142857142857,0.0,0.0,0.0,0.0,0.844991044487272,-0.2931068818484034,-2.87652222429003,-2.437746734331761,-2.8058701075081314,-3.3198934819017136,0.4,0.6,0.44285714285714284,0.5571428571428572
panDown,0.0,0.0,0.0,0.47398843930635837,0.011560693641618497,0.5144508670520231,1.2382278790363688,-0.7765209812649413,-2.8286499660139137,-2.636771135678181,-126.19312362140313,1.5680824018627233,0.5375722543352601,0.4624277456647399,0.41040462427745666,0.5895953757225434
panUp,0.0,0.0,0.0,0.0,0.0,1.0,1.0651739511675047,-0.40537817645998836,-2.907059081549783,17.43497129493547,181.98138332829893,-55.737802691323665,0.18446601941747573,0.8155339805825242,0.02912621359223301,0.970873786407767
panRight,0.0,0.0,0.0,0.0,0.0,1.0,0.742651603694232,-0.30338418359850655,-2.8224435662323573,-225.59205452451167,0.3564195895813546,44.94204326859623,1.0,0.0,0.7924528301886793,0.20754716981132076
